"Station
Code",Monitoring Location,State,Temperature Min,Temperature Max,Dissolved Oxygen Min,Dissolved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max,Fecal Streptococci Min,Fecal Streptococci Max
2112,"RIVER NARMADA NEAR MORTAKKA BRIDGE, BADWAH","MADHYA
PRADESH",19.5,21.5,7.2,7.9,7.4,8.5,243,328,1,1.4,0.83,1.27,2,2,33,49,,
44,RIVER NARMADA AT SETHANIGHAT,"MADHYA
PRADESH",17,31,7.2,8.5,7.2,8.2,198,311,1.3,2.1,0.39,1.93,13,170,150,430,2,2
1235,"RIVER NARMADA AT HOSHANGABAD 100 METER D/ S
AFTER CONFLUENCE OF SPM NALLA M.P.","MADHYA
PRADESH",12,30,7.4,8.5,7.4,8.1,187,315,1.1,1.9,0.55,2.9,22,94,170,430,2,2
2113,"RIVER NARMADA NEAR PUNASA DAM, PUNASA","MADHYA
PRADESH",20,21.5,7.1,7.8,7.5,8.5,194,298,1,1.1,0.7,1.08,2,2,31,41,,
1430,RIVER NARMADA AT D/S OF OMKARESHWAR M.P.,"MADHYA
PRADESH",19.5,21.5,7,7.8,7.7,8.4,222,313,1,1.1,0.7,1.22,2,2,32,47,,
3322,"RIVER NARMADA AT MANDLA, NEAR SHAMSHANGHAT,
JABALPUR","MADHYA
PRADESH",21.3,24.5,6,8,7.1,7.8,250,546,1,2,0.13,1.4,2,6,17,63,,
2099,"RIVER NARMADA AT LALPUR, JABALPUR","MADHYA
PRADESH",21,23.4,7.2,7.8,7.3,7.9,230,382,1.2,1.6,0.16,0.8,2,2,31,49,,
3323,"RIVER NARMADA AT TILWARAGHAT, JABALPUR","MADHYA
PRADESH",21.2,25.4,7,7.8,7.1,8,256,642,1.3,1.9,0.14,1.6,2,14,17,70,,
3324,"RIVER NARMADA AT PANCHWATIGHAT, BEFORE MIXING
WITH BAWANGANGA RIVER, JABALPUR","MADHYA
PRADESH",20.5,24.2,7.2,8,7.2,8.1,224,716,1,2,0.3,1.44,2,9,11,41,,
3325,"RIVER NARMADA AT SARSWATIGHAT, AFTER MIXING
WITH BAWANGANGA RIVER, JABALPUR","MADHYA
PRADESH",20.6,24.1,6.7,7.9,7.4,8.1,242,719,1.4,2,0.1,2.26,2,4,14,70,,
2118,RIVER NARMADA RIVER AT D/S OF KAPILDHARA,"MADHYA
PRADESH",22.6,30.4,6.5,7.7,7.1,8,167,2524,1.2,2.2,0.32,0.45,2,2,41,94,2,2
2123,RIVER NARMADA AT KORIGHAT HOSHANGABAD,"MADHYA
PRADESH",17,31,7.1,8.6,7.3,8.1,184,312,1.1,1.8,0.44,2.2,2,46,110,280,2,2
3847,RIVER NARMADA AT DHARAMPURI,"MADHYA
PRADESH",19.5,22,7.3,7.8,7.7,8.4,210,315,1,1.1,0.02,1.05,2,2,33,41,,
4577,"RIVER NARMADA AT CHANDANGHAT NEAR ROAD
BRIDGE, DINDORI","MADHYA
PRADESH",23,30.5,6.7,8.2,7.2,8.1,187,926,1,1.8,0.32,1.2,2,8,27,84,2,2
4578,RIVER NARMADA AT PUSKAR DAM AMARKANTAK,"MADHYA
PRADESH",22.8,30.2,6.6,8.1,6.9,8,173,2756,1.6,2.3,0.32,0.48,2,2,41,110,2,2
4579,"RIVER NARMADA AT DINDORI D/S AFTER MIXING TO
CITY DOMESTIC NEAR JOGOTIKARIA GHAT","MADHYA
PRADESH",23.6,30.4,6.7,8.8,7.6,8.2,194,911,1.2,2.4,0.36,0.7,2,4,43,120,2,2
4580,"RIVER NARMADA NEAR BHAIRAV TAMPLE AT
SHHASTRADHARA MANDLA","MADHYA
PRADESH",21.1,24.3,6.8,8,7.2,7.9,271,661,1.2,1.9,0.23,1.3,2,6,17,49,,
4581,"RIVER NARMADA NEAR ROAD BRIDGE (D/S BARGI DAM)
JABALPUR","MADHYA
PRADESH",20.9,25.7,7.1,7.9,7.5,7.9,248,716,1.3,1.8,0.04,1.32,2,6,17,48,,
4582,"RIVER NARMADA AT JAMTARA, NEAR RAILWAY BRIDGE","MADHYA
PRADESH",21,25.6,7.2,7.8,7.2,8.1,268,711,1.2,1.9,0.06,1.4,2,10,17,94,,
4583,"RIVER NARMADA NEAR ROAD BRIDGE JHANSINGHAT
JABALPUR","MADHYA
PRADESH",20.6,24.6,6.8,8,7.3,8.1,217,677,1.2,1.9,0.18,2.64,2,13,17,49,,
4584,"RIVER NARMADA N.H. 44 NEAR ROAD BRIDGE AT
BARMAN. JABALPUR","MADHYA
PRADESH",21,24.7,6.4,7.9,7.1,7.9,235,671,1,2,0.24,1.44,2,4,10,48,,
4585,"RIVER NARMADA, BARMANGHAT, 100 MDS OF
MAINGHAT","MADHYA
PRADESH",20.8,24.7,6.5,8.1,7.1,8.1,248,716,1.2,2.4,0.16,1.44,2,4,10,48,,
4586,"RIVER NARMADA S.N. 44 NEAR ROAD BRIDGE NEAR
JHILKOLI NARSINGPUR","MADHYA
PRADESH",21.1,24.6,6.7,7.8,7.4,8.1,233,691,1.2,1.9,0.3,2.64,2,12,17,48,,
4587,"RIVER NARMADA AT NEAR ROAD BRIDGE, SANDIA","MADHYA
PRADESH",15,31,7.8,8.7,7.3,8.2,172,285,1,1.7,0.32,2.46,2,10,2,150,2,2
4588,"RIVER NARMADA AT UP- STREAM OF VILLAGE JAIT
NEAR NARYANAPURA DISTRICT SEHORE (M.P.)","MADHYA
PRADESH",15,27,6,11.5,7.6,8.4,213,3105,1,1.7,1.25,7.47,6,26,40,280,2,2
4589,RIVER NARMADA AT D/S OF VILL. JAIT,"MADHYA
PRADESH",15,26,6.2,12.2,7.6,8.4,214,3212,1,2,1.71,6.62,11,147,140,1301,2,2
4590,"RIVER NARMADA AT UP-STREAM BEFORE
CONFLUENCE OF RIVER TAWA NEAR BANDRABHAN
DISTRICT SEHORE M.P.","MADHYA
PRADESH",14,26,5.8,11,7.4,8.5,184,419,1,2.1,0.96,6.16,2,48,150,350,2,2
4591,"RIVER NARMADA AT DOWN-STREAM AFTER
CONFLUENCE OF RIVER TAWA NEAR
RAMNAGAR,DISTRICT SEHORE (M.P.)","MADHYA
PRADESH",16,26,6,14.1,7.6,8.5,190,337,1,1.9,1.44,6.95,2,39,120,350,2,2
4592,"RIVER NARMADA AT BUDHNIGHAT, BUDHNI DISTRICT
SEHORE( M.P.)","MADHYA
PRADESH",16,26,6.2,10.2,7.5,8.3,184,3459,1,1.4,0.71,5.04,2,178,120,1400,2,2
4593,"RIVER NARMADA AT DOWN-STREAM OF TEXTILE UNIT
VILLAGE. HOLIPURA BUDNI DISTRICT SEHORE (M.P.)","MADHYA
PRADESH",15,27,6,13.5,7.4,8.5,180,478,1,2,1.16,4.92,2,39,110,350,2,2
4594,"RIVER NARMADA AT BEFOR CONFLU. OF RIVER JAMNER
VILL. NEMAWAR","MADHYA
PRADESH",22,28,6.7,7.6,7.4,7.9,205,422,1.4,2,0.32,0.83,2,2,41,49,2,2
4596,RIVER NARMADA AT HANUWANTIA DIST. KHANDWA,"MADHYA
PRADESH",20,21.5,7.3,7.8,7.7,8.6,211,311,1,7.4,0.64,1.14,2,2,31,41,,
4597,"RIVER NARMADA AT U/S OMKAREWHWAR DAM
KHANDWA","MADHYA
PRADESH",19.5,21.5,7.2,7.8,7.3,8.5,212,308,1,1.1,0.74,2.26,2,2,32,43,,
4598,RIVER NARMADA RIVER AT DHARESHWAR,"MADHYA
PRADESH",19,21.5,7.2,7.8,7.6,8.6,205,329,1,1.1,0.84,11.03,2,2,34,49,,
4599,RIVER NARMADA NEAR W/S INTAKE JALLOD,"MADHYA
PRADESH",19.5,21.5,7.3,8,7.8,8.4,248,320,1,1.1,0.71,1.12,2,2,34,41,,
4600,"RIVER NARMADA RIVER AT SHAHASTRADHARA
(JALKOTI)","MADHYA
PRADESH",19.5,21.5,7.2,8.1,7.7,8.6,209,330,1,1.2,0.73,1.91,2,2,38,47,,
4601,RIVER NARMADA AT KHALGHAT,"MADHYA
PRADESH",19.5,22,7.4,7.8,7.8,8.6,215,337,1,1.2,0.02,1.18,2,2,34,43,,
4602,RIVER NARMADA RIVER AT SEMALDA U/S OF BARWANI,"MADHYA
PRADESH",19,22,7.2,8,7.7,8.4,232,350,1,1.1,0.71,1.16,2,2,34,43,,
4603,RIVER NARMADA AT KOTESHWAR,"MADHYA
PRADESH",19.5,22,6.9,7.8,7.6,8.5,255,392,1,1.1,0.72,1.92,2,2,34,46,,
4605,"RIVER NARMADA AT KAKRANA, INTERSTATE BOUNDRY,
ALIRAJPUR","MADHYA
PRADESH",19.5,22,7.2,7.7,7.6,8.5,250,358,1,1.2,0.74,2.12,2,2,34,48,,
30048,"RIVER NARMADA AT NAVAGAM, NEAR GORA COLONY,
KEVADIA, GUJARAT (GUJARAT AND MADHYA PRADESH)",GUJARAT,29,29,7.7,7.7,8.3,8.3,372,372,2.5,2.5,0.32,0.32,700,700,1100,1100,,
7,RIVER NARMADA AT GARUDESHWAR,GUJARAT,27,34,7.3,8.4,8,8.4,190,419,1,1,0.32,0.83,2,23,20,94,,
1244,"RIVER NARMADA AT PANETHA,",GUJARAT,27,34,7.1,8.3,8,8.4,200,363,1,1,0.32,0.85,2,21,26,46,,
1245,"RIVER NARMADA AT CHANDOD,",GUJARAT,26,28,7.3,8.7,7.9,8.7,298,426,1,1,1.16,1.36,9,50,34,140,,
1981,"RIVER NARMADA AT ZANOR (NTPC), BHARUCHRIVER
NARMADA AT ZANOR (NTPC), BHARUCH",GUJARAT,25,30,7,8.4,7.7,8.5,282,518,1,1,0.3,0.3,13,78,46,140,2,21
1243,"RIVER NARMADA AT BHARUCH, ZADESHVAR,",GUJARAT,25,30,6.3,8.3,7.9,8.5,270,770,1,1,0.3,0.3,39,170,140,340,11,40
1236,"RIVER CHOTA TAWA BEFORE CONFL. WITH RIVER
NARMADA, M.P.","MADHYA
PRADESH",20,21,7.3,7.7,7.6,8.6,322,514,1,1.2,0.79,1.28,2,2,36,58,,
2100,"RIVER GOUR NEAR BHOGDWAR WSS INTAKE POINT,
JABALPUR","MADHYA
PRADESH",21.1,24.6,7.5,7.7,7.2,7.8,267,394,1.2,1.6,0.12,3.95,2,23,32,93,,
2114,RIVER KUNDA AT KHARGONE,"MADHYA
PRADESH",20,22,1.9,7.7,7.7,8.6,310,1165,1,10,1.08,3.3,2,40,49,920,2,8
3305,"RIVER BANJAR AT MALANJKHAND NEAR W/S INTAKE
POINT, JABALPUR","MADHYA
PRADESH",20.2,24.3,7,7.8,7.3,8.1,275,523,1.2,2,0.22,1.34,2,10,17,49,,
3828,"RIVER HIRAN, NH 7 ROAD BRIDGE, SIHORA, DIST
JABALPUR","MADHYA
PRADESH",20.1,24.2,6.3,7.8,7.4,8,228,713,1.2,2.2,0.14,1.6,2,9,17,48,,
3829,"RIVER HIRAN, NH -12 ROAD BRIDGE VIL VIKRAMPUR
,DIST NARSINGPUR","MADHYA
PRADESH",20.9,24.6,6.3,7.9,7.1,8.1,208,641,1.2,2,0.27,1.44,2,6,10,70,,
4613,"RIVER HIRAN AFTER MIXING PARIYAT RIVER NEAR
ROAD BRIDGE AT VILL GANIYARI, JABALPUR","MADHYA
PRADESH",20.3,25,5.7,7.9,6.4,7.9,290,10850,1.8,12,0.29,1.6,2,14,17,540,,
4616,"RIVER BANJAR RIVER NEAR ROAD BRIDGE, VILL.
KHARRADHAR MALANJKHAND.","MADHYA
PRADESH",20.4,24.5,7.1,7.9,7.3,8.1,278,497,1,1.9,0.21,1.34,2,12,11,47,,
4617,"RIVER WAINGANGA RIVER NEAR VILL. BUDUNDA
MALANJKHAND, DISTT BALAGHAT","MADHYA
PRADESH",20.3,24.3,7.2,7.6,7.2,7.8,270,521,1,1.9,0.25,1.34,2,10,11,47,,
9,RIVER TAPI AT NEPANAGAR,"MADHYA
PRADESH",20,22,6.9,7.8,7.7,8.5,194,592,1,1.6,0.51,1.36,2,2,40,89,,
10,RIVER TAPI AT BURHANPUR,"MADHYA
PRADESH",20,22,6.6,7.9,7.8,8.9,246,1043,1,3,0.71,1.38,2,4,49,210,,
